Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Switzerland,CHE,1593,1593,1733,1733,1843,2358.1,2358.1,2364,2500,2500,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Syrian Arab Republic,SYR,3000,2500,2500,2350,2225,2150,1855,1805,1755,1655,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Tajikistan,TJK,443.6,450,439,470,512,736,775,2039,2248,2348,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Tanzania,TZA,10317.2,10742.2,12547.4,19602,16852.22,18013.4,18886.16,64904.344,75896.046,122095.7,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Thailand,THA,898564.86,921023,963573,894974,921313.13,963266.54,1011538,990854,1001024,1001222,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Timor-Leste,TLS,949,771,823,993,981,1018,1060,1091,1125,1165,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Togo,TGO,25,58,98,132,290,1000,730,882,1151,1568,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Tonga,TON,87.31,57.405,21.03,70,80,90,105.2,100,100,100,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Trinidad and Tobago,TTO,5.45,23.8,11.1,7.45,7.45,54,4.2,18.2,7.4,5.5,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Tunisia,TUN,11663,14584,16153,21933,21826.2,24223.2,23631.1,26099.185,20926.057,21279.071,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Turkiye,TUR,235133,240334,253395,276502,314537,373356,421411,471686,514823,556296,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Turkmenistan,TKM,50,50,75,80,120,140,150,160,175,180,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Turks and Caicos Islands,TCA,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Tuvalu,TUV,2.5,2.5,1,1,0.4,0.4,0.4,0.2,0,0.25,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Uganda,UGA,111023,117590,118051.2,112343.6,103737,102942.7,123897,138558.4,101422,129980,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Ukraine,UKR,24434,22241.3,21424.6,20168.2,18595.43,18603.712,18567.796,16881.808,14630,15270.822,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,United Arab Emirates,ARE,788,790,2684.9,3255,3230,3240,3047.779,2662.942,3524.96,2257.836,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,United Kingdom,GBR,234368.628,211759.543,194507.266,227642.446,189921.352,233849.219,220327.205,239268.685,201355.112,183110.112,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,United States,USA,421289,426111,444793,439801,471429.851,496152.848,448619.606,461788.113,479039.932,456367.511,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Uruguay,URY,215,203.828,69.653,69.979,104.774,120.5,97.8,83.9,73.6,63.775,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Uzbekistan,UZB,29275.4,36896.6,38055,52450,57384,81717,98003,118933,130274,140283,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Vanuatu,VUT,65.698,11.541,15.703,17.047,16.205,16.18,3.08,3,4,5,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,"Venezuela, RB",VEN,30725.66,18911.41,25998,27000,25911,33636,39221,52065,67531,63524,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Viet Nam,VNM,3355234,3475449.61,3581579.03,3831777.53,4192822.5,4373747,4681434.95,4750173.83,5113494.28,5378859.632,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Virgin Islands (U.S.),VIR,7.64,8,8,8,8,8,8,8,8,8,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,West Bank and Gaza,PSE,184,256,280,500,749,630,691,697,731,631,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,"Yemen, Rep.",YEM,3,5,5,5,10,10,10,10,10,10,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Zambia,ZMB,19281,22754,21600,21567.1,29565,38480,45670,63355,75648,76627,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Zimbabwe,ZWE,21393.69,21177.81,21500.85,17909.06,18759.33,20356.01,21276.34,5057.82,8353.01,8714.55,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Africa Eastern and Southern,AFE,351294.81,398749.88,345219.46,345021.89,330601.7,339123.6,369846.12,414614.85,413258.19,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Africa Western and Central,AFW,363662,377825.16,379237.63,374719.26,393508.74,372606.3,357297.65,400390.5,429821.7,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Arab World,ARB,1215588.99,1259594.29,1472670.96,1539062.07,1739378.62,1789937.42,1764585.28,1765853.68,1746351.57,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Caribbean small states,CSS,7766.37,4855.84,1718.84,1476.02,1098.95,1141.98,920.39,1101.65,2404.23,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Central Europe and the Baltics,CEB,119209.96,124998.69,131229.72,134047.46,140543.05,143496.55,145698.04,148608.78,142981.8,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Early-demographic dividend,EAR,27644648.51,29680262.01,30770908.85,31824012.68,33244160.81,34070545.74,34618889.61,35128568.76,36014991.56,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,East Asia & Pacific,EAS,83700667.24,87384278.42,90804004.46,93727117.65,95723688.61,98016929.46,99957970.96,101976186.84,102115646.49,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,East Asia & Pacific (excluding high income),EAP,80575336.8,84099133.52,87406420.39,89869309.15,91910116.14,94158512.97,96109749.52,98051137.27,100660980.52,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,East Asia & Pacific (IDA & IBRD countries),TEA,80007821.43,83531410.01,86786694.49,89244270.15,91231079.34,93478970.27,95429465.02,97370588.97,100660991.02,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Euro area,EMU,905746.52,918638.19,970694.97,1002912.2,1034571.54,979882.35,935034.29,979897.88,967016.85,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Europe & Central Asia,ECS,3214533.78,3261825.67,3296926.85,3392600.02,3489717.59,3747023.5,3830340.47,4208555.25,4011815.54,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Europe & Central Asia (excluding high income),ECA,344425.7,356670.05,377459.66,412320.15,463142.59,548726.27,615016.56,691401.5,748109.8,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Europe & Central Asia (IDA & IBRD countries),TEC,583755.15,589144.19,635394.5,683148.28,758428.68,891529.81,1002880.62,1109428.45,1190284.41,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,European Union,EUU,1050450.18,1065611.18,1126663.73,1162312.42,1195296.62,1144020.02,1103579.71,1146407.44,1121303.57,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Fragile and conflict affected situations,FCS,1429740.19,1451570.75,1467478.79,1487773.37,1563989.58,1522057.58,1569544.54,1613868.17,1571786.25,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Heavily indebted poor countries (HIPC),HPC,445655.14,499395.15,455718.15,483267.49,490083.18,475835.73,516465.69,599142.49,647405.2,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,High income,HIC,7875878.35,7957043.04,8119691.8,8813353.58,8933617.09,9288340.14,9347883.86,9712791.35,7076957.12,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,IBRD only,IBD,88424964.44,92299214.63,96180865.66,99450565.74,102856429.62,106332876.93,109139165.72,111950554.39,116149391.97,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,IDA & IBRD total,IBT,92652652.72,96756014.73,100774358.9,104268805.63,107911047.22,111504277.08,114618916.2,117596303.59,121838254.48,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,IDA blend,IDB,555718.87,561072.28,551491.09,551421.96,558906.33,589778.97,587592.94,613695.64,614746.54,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,IDA only,IDX,3671969.41,3895727.82,4042002.15,4266817.93,4495711.27,4581621.18,4892157.54,5032053.56,5074115.97,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,IDA total,IDA,4227688.28,4456800.1,4593493.24,4818239.89,5054617.6,5171400.15,5479750.48,5645749.2,5688862.51,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Late-demographic dividend,LTE,64933487.98,66958634.49,70011050.37,72492030.9,74795841.59,77579853.87,80177776.16,82597569.73,85309840.77,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Latin America & Caribbean,LCN,2801352.23,2678551.28,2687247.41,2973217.47,3216338,3594503.26,3838618.3,3850501.52,4260570.83,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Latin America & Caribbean (excluding high income),LAC,1505188.94,1568051.95,1579604.56,1694582.31,1871903.2,2123730.02,2272295.12,2328951.35,2706618.41,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Latin America & the Caribbean (IDA & IBRD countries),TLA,2770022.14,2646446.45,2658017.91,2941964.97,3187666.16,3567469.56,3812598.8,3827729.42,4245078.93,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Least developed countries: UN classification,LDC,3503454.91,3732419.54,3879398.79,4087637.33,4290519.93,4392742.55,4680333.96,4786727.79,4755083.26,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Low & middle income,LMY,91716103.84,96013035,100057921.61,103376007.74,106979618.97,110397476.7,113371143.96,116360003.87,119857265.85,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Low income,LIC,721434.56,737802.41,798190.59,811330.4,842915.06,846054.76,874332.05,899990.56,187186.6,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Lower middle income,LMC,15796184.71,16646096.87,17292481.46,18350875.77,20260474,21345437.19,22556286.26,23444037.46,24835387.82,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,"Middle East, North Africa, Afghanistan & Pakistan",MEA,1711675.99,1785776.29,2059949.88,2141135.77,2372445.99,2439205.11,2443100.81,2442509.92,1945867.11,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1657594.89,1724098.29,1984416.69,2048824.82,2260184.52,2328058.78,2303199.09,2291742.18,1786521.06,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1657410.89,1723842.29,1984136.69,2048324.82,2259435.52,2327428.78,2302554.09,2291045.18,1785794.06,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Middle income,MIC,90994669.28,95275232.59,99259731.02,102564677.34,106136703.91,109551421.94,112496811.91,115460013.31,119670079.25,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,North America,NAC,560921,613476.5,645462.5,631319,662684.35,683342.85,618374.61,651871.12,645286.94,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,OECD members,OED,7707199.42,7840131.26,8054348.44,8740991.31,8884724.54,9325141.09,9436856.08,9683804.55,7133486.82,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Other small states,OSS,26280.98,29421.07,40283.46,49947.59,52484.28,63610.24,77917.31,87629.39,86910.43,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Pacific island small states,PSS,20367.71,16514.48,10853.84,5311.17,5967.6,6055.35,5975.75,12799.66,12228.14,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Post-demographic dividend,PST,5941531.56,6223364.33,6407777.82,6858399.93,6887805.31,7029337.74,6943162.66,7279582.58,4527564.15,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Pre-demographic dividend,PRE,676070.15,730802.31,673753.45,670671.22,646576.02,651033.41,651160.1,729558.76,708578.3,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Small states,SST,54415.06,50791.39,52856.14,56734.78,59550.83,70807.57,84813.45,101530.7,101542.8,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,South Asia,SAS,6918686.3,7488596.75,7985658.22,8631356.26,9750327.08,10527148.76,11344273.9,12182506.22,13113026.17,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,South Asia (IDA & IBRD),TSA,6918686.3,7488596.75,7985658.22,8631356.26,9750327.08,10527148.76,11344273.9,12182506.22,13113026.17,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Sub-Saharan Africa,SSF,714956.81,776575.04,724457.09,719741.15,724110.44,711729.9,727143.77,815005.35,843079.89,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Sub-Saharan Africa (excluding high income),SSA,714871.21,776484.44,724362.09,719615.05,723945.44,711299.9,726609.77,814265.35,842009.89,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Sub-Saharan Africa (IDA & IBRD countries),TSS,714956.81,776575.04,724457.09,719741.15,724110.44,711729.9,727143.77,815005.35,843079.89,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Upper middle income,UMC,75198484.57,78629135.72,81967249.56,84213801.57,85876229.91,88205984.75,89940525.65,92015975.85,94834691.43,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,World,WLD,99622793.35,103989079.95,108203706.41,112216487.32,115939312.06,119719882.84,122759822.82,126127136.22,126935292.97,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Afghanistan,AFG,7012523.28,6010288,5708330.42,5059633.97,4304555.5,5771861,6241828,4970923,4802495,5371824.12,..
Cereal production (metric tons),AG.PRD.CREL.MT,Albania,ALB,700370,695000,698430,701734,678196,666065,684023,691126.7,690850,701314.38,..
Cereal production (metric tons),AG.PRD.CREL.MT,Algeria,DZA,3435535,3761229.6,3445227.37,3478175.14,6066238.69,5633592.07,4393330.47,2784008.92,4093798.53,3589552.61,..
Cereal production (metric tons),AG.PRD.CREL.MT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Angola,AGO,1825128.76,2021290.68,2372602.15,2483183.07,2871952.31,2918493.21,3077110,3059537,3179113,3335449,..
Cereal production (metric tons),AG.PRD.CREL.MT,Antigua and Barbuda,ATG,72.08,74.57,64.71,51.47,36.94,51.04,46.48,44.82,47.45,46.25,..
Cereal production (metric tons),AG.PRD.CREL.MT,Argentina,ARG,50794075.58,55980088.03,61148032.97,76397452.56,70592010,83616878.63,85702612.91,87692340.49,91584261.2,62106556.9,..
Cereal production (metric tons),AG.PRD.CREL.MT,Armenia,ARM,574673,595756.6,598966,298029,334342,195063,242010.7,149802,239505.3,287928.5,..
Cereal production (metric tons),AG.PRD.CREL.MT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Australia,AUS,38420401.88,37195914.48,35229824.87,50049458.35,33860810.45,29236269.93,26613452.71,51077807.87,56306582.26,59043989,..
Cereal production (metric tons),AG.PRD.CREL.MT,Austria,AUT,5720308.58,4853895.01,5701697.09,4874849.22,4787200,5399310,5649770,5316150,5205750,5235050,..
Cereal production (metric tons),AG.PRD.CREL.MT,Azerbaijan,AZE,2298047.5,2898559,2965670,2824527.1,3181818,3416764.3,3151182,3258169.4,3055969.7,3153905.6,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Bahamas, The",BHS,687.62,597.18,658.54,647.78,626.45,612.84,621.67,612.12,615.55,616.45,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bangladesh,BGD,55241123,55438379,54262297,58495624,58816519.33,59185501.11,59962356.15,61597969.2,62549531.82,64325662.39,..
Cereal production (metric tons),AG.PRD.CREL.MT,Barbados,BRB,81,122,95.57,73.86,109.3,42,86,49.9,51,41.66,..
Cereal production (metric tons),AG.PRD.CREL.MT,Belarus,BLR,9033775,8186980,7075658,7529412,5813781,6991979,8403688,6914729.28,7748343.68,7053123.71,..
Cereal production (metric tons),AG.PRD.CREL.MT,Belgium,BEL,3162852,3163733,2287774,2764392,2431020,2814390,2565850,2452580,2779540,2754890,..
Cereal production (metric tons),AG.PRD.CREL.MT,Belize,BLZ,94519,80959,91556.38,118376,99341,85114,112007,136612,146715,160169,..
Cereal production (metric tons),AG.PRD.CREL.MT,Benin,BEN,1714040.4,1643227.33,1814288.87,1897503.59,2320755.59,2177782.78,2203105.09,2308912.73,2297372.9,2737481.16,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bhutan,BTN,170212.58,175635.48,176187.02,192713,125754.52,103294.68,103404.39,77691.77,71380.72,70007.72,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bolivia,BOL,2449241,2934919,2660808,2278993.69,3267425.32,2912082,2914459,3741163.26,2615641.21,3226596.67,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bosnia and Herzegovina,BIH,1082655,1137236,1657556,1167004.74,1743762,1666131,1944178,1400676,1431169,1062500,..
Cereal production (metric tons),AG.PRD.CREL.MT,Botswana,BWA,50253.48,43967.04,48572.85,23207.96,80922.63,48664.67,162122.1,122103.33,115448.2,74406.68,..
Cereal production (metric tons),AG.PRD.CREL.MT,Brazil,BRA,101402184,106026684.77,84166681.6,117977043.93,103259697.62,121202029.78,125585473.52,111985618.91,135742766.74,155877474.39,..
Cereal production (metric tons),AG.PRD.CREL.MT,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Brunei Darussalam,BRN,2100,3100,2400,2300,2400,2300,3900,4100,3600,3700,..
Cereal production (metric tons),AG.PRD.CREL.MT,Bulgaria,BGR,9530421,8570299,8752219,9475846,10109850,11130990,8598290,11639300,9790690,10345650,..
Cereal production (metric tons),AG.PRD.CREL.MT,Burkina Faso,BFA,4469300,4189665,4567066,4063197,5180701.81,4939629.91,5179104,4661140,5179059.02,5147923.87,..
Cereal production (metric tons),AG.PRD.CREL.MT,Burundi,BDI,236880.85,260287.26,468248.09,375525.86,459945.08,546926.7,697255.69,1178019.5,1581834.95,1072549.83,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cabo Verde,CPV,1065,8677,5642,4,719.4,640,432,449,221.6,464,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cambodia,KHM,9798000,9668100,10494300,11749500,12123500,11780700,11836000,12906000,12787000,14380000,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cameroon,CMR,3357882.36,3645512.68,3716222.4,3692886.95,4063863.6,3889193,3539519.43,3715929.91,3843707.34,3859032.66,..
Cereal production (metric tons),AG.PRD.CREL.MT,Canada,CAN,51683501,53563000,58905767.63,56770935,58726900,61473900,65314300,47546138,65040432,59240420.77,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Central African Republic,CAF,133138.87,131506,146819.75,147325,151619,157397,277762.88,285796.42,294070.17,302591.56,..
Cereal production (metric tons),AG.PRD.CREL.MT,Chad,TCD,2748668,2452528,2873660,2716901,3021972.6,2925292,2882262.08,2620314.17,2798641,2643417,..
Cereal production (metric tons),AG.PRD.CREL.MT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Chile,CHL,3478752,3788921.4,3872402.5,3471759.7,3661684.5,3296214.6,2761553.53,3035972.47,2588504.75,2497164.62,..
Cereal production (metric tons),AG.PRD.CREL.MT,China,CHN,560519000,618165313.27,614697468.76,614070169.03,609946694.21,613438323.23,616632008.31,632772813.74,633134294.88,641731705.88,..
Cereal production (metric tons),AG.PRD.CREL.MT,Colombia,COL,3698781.08,3603471.59,3982827.07,4057766.61,3995557.73,4061519.21,4458460.35,4556233.19,4558570.46,4987440,..
Cereal production (metric tons),AG.PRD.CREL.MT,Comoros,COM,14818,15372,15926,16480,17035,17588,18143,18697,19178.59,19705.44,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Congo, Dem. Rep.",COD,3097523.77,3120941.02,3293367.73,3459463.81,3533729.68,3576504.53,3720568.5,3882132.7,4035068.51,4207501.57,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Congo, Rep.",COG,26730.11,27620.12,28896.54,29874.2,29912.76,30925.48,30164.32,30702.74,30222.69,30358.59,..
Cereal production (metric tons),AG.PRD.CREL.MT,Costa Rica,CRI,234587,203816,213880,159571,197700.9,170321.2,151685,157044,121049,83440,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cote d'Ivoire,CIV,2855919,3308600,3159200,3290400,3214062,3139196,2817182,2956948,3065235,3390058.49,..
Cereal production (metric tons),AG.PRD.CREL.MT,Croatia,HRV,3001476.94,2802791,3573872,2659648,3243520,3513320,3746320,3645150,3023810,3191010,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cuba,CUB,1017580,791665.9,930967.8,786203,812373.93,703134.34,525731.5,465811.78,315206.75,294460.89,..
Cereal production (metric tons),AG.PRD.CREL.MT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Cyprus,CYP,7362,88127,10161,35836,25290,61280,63130,53960,57480,50990,..
Cereal production (metric tons),AG.PRD.CREL.MT,Czechia,CZE,8783608.2,8187773.98,8600552.1,7460864.15,6970920,7646150,8126660,8227120,8218420,7995530,..
Cereal production (metric tons),AG.PRD.CREL.MT,Denmark,DNK,9796378,10047500,9154326,10027261,6923900,9517830,9467690,8640070,9464200,7001960,..
Cereal production (metric tons),AG.PRD.CREL.MT,Djibouti,DJI,16.46,17.92,16.79,16.75,16.73,16.77,17.32,17.48,17.19,17.33,..
Cereal production (metric tons),AG.PRD.CREL.MT,Dominica,DMA,193.88,188.94,188.27,189.57,190.47,191.38,192.42,192.19,192.66,193.13,..
Cereal production (metric tons),AG.PRD.CREL.MT,Dominican Republic,DOM,856072.81,860251.7,899524.73,950213,1010915.79,970003.28,986240.82,1061440.99,1092365.17,1028927.37,..
Cereal production (metric tons),AG.PRD.CREL.MT,Ecuador,ECU,2814310.08,3238472.69,2372925.49,2801628.56,2443477.8,2400392.92,2425754.14,2948373.24,2928381.42,2754159.42,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Egypt, Arab Rep.",EGY,23323608.72,23141275.32,23385497.4,22923640,17565644.01,21916624.05,22457339.3,23091464.6,22002297,23391009.98,..
Cereal production (metric tons),AG.PRD.CREL.MT,El Salvador,SLV,1001957,854471,1072962,1030124.36,817563.23,921410,911983.75,949883.81,900080,881000,..
Cereal production (metric tons),AG.PRD.CREL.MT,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Eritrea,ERI,302103.81,306990.27,303673.43,305644.26,305435.99,304917.89,305332.72,305228.87,305159.83,305240.47,..
Cereal production (metric tons),AG.PRD.CREL.MT,Estonia,EST,1221600,1535300,934051,1311893,919830,1624580,1632790,1285750,1528560,1200650,..
Cereal production (metric tons),AG.PRD.CREL.MT,Eswatini,SWZ,121572.06,84589.38,35578.35,86633.02,115701.5,97714.65,89701.89,101839.01,129168.92,87172.99,..
Cereal production (metric tons),AG.PRD.CREL.MT,Ethiopia,ETH,24215411.4,25837227.61,26587343.15,28763752.2,28364293.66,29672647.7,29786630.71,29475600.72,29940144.54,30146269.6,..
Cereal production (metric tons),AG.PRD.CREL.MT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Fiji,FJI,7843.06,7427.98,9540.67,10065.79,8282.71,8012.5,10573.64,11829.1,14699.39,9194.18,..
Cereal production (metric tons),AG.PRD.CREL.MT,Finland,FIN,4130625.78,3685494.18,3566470.36,3421642.54,2768190,4036110,3415550,2648990,3590090,3006670,..
Cereal production (metric tons),AG.PRD.CREL.MT,France,FRA,72801345,73072833.8,54616263.89,68730244.14,61839480,70378890,57085160,66877140,59927490,64240810,..
Cereal production (metric tons),AG.PRD.CREL.MT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Gabon,GAB,44781.36,45415.03,45999.72,46425.6,47181.39,47627.39,48548.2,47785.66,47987.09,48106.98,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Gambia, The",GMB,174464.33,230683,173610,122850,98502.18,95150.4,107673,113500.79,107709.19,128972.23,..
Cereal production (metric tons),AG.PRD.CREL.MT,Georgia,GEO,378206.12,363416.42,431206.97,295207.81,370940.58,371478.05,412342.15,437456.24,377758.81,399752.4,..
Cereal production (metric tons),AG.PRD.CREL.MT,Germany,DEU,52010400,48866800,45364400,45556800,37948100,44302400,43265100,42359400,43479000,42462800,..
Cereal production (metric tons),AG.PRD.CREL.MT,Ghana,GHA,2780040,2753193.99,2798251.57,3126782.91,3573624.57,4411039.66,4636040.81,4858040.31,5136565.41,5765040.5,..
Cereal production (metric tons),AG.PRD.CREL.MT,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Greece,GRC,4263956.43,4297233.2,3962383.67,3682860.97,2993980,2944220,3105370,3233710,3203370,3404050,..
Cereal production (metric tons),AG.PRD.CREL.MT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Grenada,GRD,410.56,354.12,388.23,385.82,385.87,384.35,384.24,386.82,388.4,389.98,..
Cereal production (metric tons),AG.PRD.CREL.MT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Guatemala,GTM,1900910.37,1938866.98,1986485.1,2037704.14,2065221.14,1922130.14,2049922.64,2130605.74,2157520.14,2184608.77,..
Cereal production (metric tons),AG.PRD.CREL.MT,Guinea,GIN,3401200,3532855.87,3648811,3774616,3911040,3891171,4008358,4402724,4745053.21,5292501.76,..
Cereal production (metric tons),AG.PRD.CREL.MT,Guinea-Bissau,GNB,166221.78,207988.47,225060.29,210996.37,223838.6,239853.75,257761.38,280558.79,301273,299071,..
Cereal production (metric tons),AG.PRD.CREL.MT,Guyana,GUY,981300,1062100,826200,973400,968000,1053900,1061600,864000,933600,999000,..
Cereal production (metric tons),AG.PRD.CREL.MT,Haiti,HTI,586897,428590.12,442632,484000,415370,389868,300130,373000,340000,330000,..
Cereal production (metric tons),AG.PRD.CREL.MT,Honduras,HND,670111.28,729021.15,701829.84,765602.19,791201.52,667799.38,753711.53,743577.18,751007.99,773845.23,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Hong Kong SAR, China",HKG,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.06,..
